istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
013003,Albavilla,6400,717,3982,1701,6338.0,794.0,4008.0,1536.0,62.0,0.9782265698958662,24.234774376775007,26.578125000000004,comparable_on_2025_geography
009002,Albenga,23539,2630,14416,6493,23533.0,2854.0,14519.0,6160.0,6.0,0.02549611184294395,26.176008158755792,27.584009516122183,comparable_on_2025_geography
006002,Albera Ligure,313,25,183,105,300.0,31.0,154.0,115.0,13.0,4.333333333333334,38.333333333333336,33.54632587859425,comparable_on_2025_geography
072003,Alberobello,10102,1103,6131,2868,10660.0,1223.0,6780.0,2657.0,-558.0,-5.23452157598499,24.924953095684803,28.390417739061576,comparable_on_2025_geography
071002,Alberona,832,72,509,251,915.0,78.0,564.0,273.0,-83.0,-9.07103825136612,29.836065573770494,30.16826923076923,comparable_on_2025_geography
013004,Albese con Cassano,4270,479,2589,1202,4133.0,520.0,2465.0,1148.0,137.0,3.3147834502782483,27.776433583353494,28.149882903981265,comparable_on_2025_geography
024002,Albettone,1998,231,1335,432,2028.0,252.0,1395.0,381.0,-30.0,-1.4792899408284024,18.786982248520708,21.62162162162162,comparable_on_2025_geography
079002,Albi,764,55,470,239,884.0,90.0,561.0,233.0,-120.0,-13.574660633484163,26.35746606334842,31.282722513089006,comparable_on_2025_geography
022002,Albiano,1544,224,974,346,1490.0,227.0,945.0,318.0,54.0,3.6241610738255035,21.34228187919463,22.409326424870464,comparable_on_2025_geography
001004,Albiano d'Ivrea,1624,170,992,462,1642.0,181.0,1026.0,435.0,-18.0,-1.0962241169305724,26.492082825822166,28.448275862068968,comparable_on_2025_geography
108003,Albiate,6695,837,4501,1357,6293.0,884.0,4186.0,1223.0,402.0,6.388050214524074,19.434292070554584,20.268857356235998,comparable_on_2025_geography
078006,Albidona,1076,85,620,371,1265.0,110.0,764.0,391.0,-189.0,-14.940711462450592,30.909090909090907,34.479553903345725,comparable_on_2025_geography
028003,Albignasego,27350,3811,17426,6113,25699.0,3888.0,16689.0,5122.0,1651.0,6.424374489279739,19.93073660453714,22.351005484460696,comparable_on_2025_geography
035001,Albinea,8964,1063,5603,2298,8835.0,1190.0,5565.0,2080.0,129.0,1.4601018675721562,23.542727787209962,25.63587684069612,comparable_on_2025_geography
016004,Albino,17567,2052,11169,4346,17750.0,2391.0,11330.0,4029.0,-183.0,-1.0309859154929577,22.698591549295774,24.73956850913645,comparable_on_2025_geography
013005,Albiolo,2785,345,1849,591,2698.0,378.0,1796.0,524.0,87.0,3.224610822831727,19.421793921423276,21.220825852782767,comparable_on_2025_geography
009004,Albisola Superiore,9562,854,5458,3250,9921.0,971.0,5671.0,3279.0,-359.0,-3.618586836004435,33.05110371938313,33.988705291779965,comparable_on_2025_geography
009003,Albissola Marina,5157,456,2903,1798,5308.0,533.0,3034.0,1741.0,-151.0,-2.844762622456669,32.79954785229842,34.865231723870465,comparable_on_2025_geography
012002,Albizzate,5184,665,3171,1348,5225.0,690.0,3251.0,1284.0,-41.0,-0.7846889952153111,24.574162679425836,26.003086419753085,comparable_on_2025_geography
018003,Albonese,548,60,309,179,527.0,37.0,301.0,189.0,21.0,3.984819734345351,35.86337760910816,32.66423357664234,comparable_on_2025_geography
014002,Albosaggia,2985,299,1767,919,3011.0,312.0,1853.0,846.0,-26.0,-0.8635004981733644,28.096977748256393,30.787269681742043,comparable_on_2025_geography
005002,Albugnano,519,38,313,168,506.0,33.0,330.0,143.0,13.0,2.5691699604743086,28.26086956521739,32.369942196531795,comparable_on_2025_geography
018004,Albuzzano,3652,453,2465,734,3517.0,538.0,2384.0,595.0,135.0,3.8384987205004264,16.917827694057436,20.098576122672508,comparable_on_2025_geography
081001,Alcamo,44597,5589,28225,10783,45192.0,5952.0,29145.0,10095.0,-595.0,-1.3166047087980173,22.338024429102497,24.178756418593178,comparable_on_2025_geography
083001,Alcara li Fusi,1625,124,927,574,1867.0,164.0,1086.0,617.0,-242.0,-12.961971076593464,33.04767005891805,35.323076923076925,comparable_on_2025_geography
