library,isil,libraryName,materialLabel,quantity
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VA0122,IT-VA0122,Biblioteca Cardinale Carlo Maria Martini,manoscritti,170
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TO0771,IT-TO0771,Biblioteca Carilibri della Fondazione Alberto Colonnetti,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BG0909,IT-BG0909,Biblioteca Carlo Locatelli del Centro Studi Valle Imagna,manoscritti,5
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AL0134,IT-AL0134,Biblioteca Carlo Mosso del Conservatorio statale di musica Antonio Vivaldi,manoscritti,40
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0202,IT-GE0202,Biblioteca Carmelitani Scalzi - Convento di S. Anna,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MB0002,IT-MB0002,Biblioteca Carrobiolo,manoscritti,29
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0046,IT-FI0046,Biblioteca Casa Buonarroti,manoscritti,170
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-ME0459,IT-ME0459,Biblioteca Casa Cuseni Taormina,manoscritti,10100
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MC0067,IT-MC0067,Biblioteca Casa Leopardi,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LE0346,IT-LE0346,Biblioteca Casa Museo Calabrese,manoscritti,500
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CH0134,IT-CH0134,Biblioteca Casa Rossetti - Archivio Storico,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VE0063,IT-VE0063,Biblioteca Casa di Goldoni - Centro di Studi Teatrali,manoscritti,590
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0313,IT-RM0313,Biblioteca Casanatense,manoscritti,35000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PI0027,IT-PI0027,Biblioteca Cathariniana,manoscritti,238
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0731,IT-RM0731,Biblioteca Centrale Giuridica,manoscritti,150
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BO0273,IT-BO0273,Biblioteca Centralizzata,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TA0013,IT-TA0013,Biblioteca Centro Culturale Gruppo Anonimo '74,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BS0292,IT-BS0292,Biblioteca Centro Culturale comunale Cesare Cantù,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PG1006,IT-PG1006,Biblioteca Centro Studi Agostiniani,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TA0060,IT-TA0060,Biblioteca Centro Studi Melitensi,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0026,IT-GE0026,Biblioteca Centro Studi e Documentazione Scout Mario Mazza,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SS0407,IT-SS0407,Biblioteca Centro di Istituzione Bibliografica Privata 'Dott.Ssa Ivana Marroni',manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AR0007,IT-AR0007,Biblioteca Centro di Ricerca Foreste e Legno,manoscritti,100
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0028,IT-GE0028,Biblioteca Centro di documentazione della Camera di Commercio di Genova,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AV0194,IT-AV0194,Biblioteca Centro studi Calitrani,manoscritti,709
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0027,IT-GE0027,Biblioteca Centro studi francescani per la Liguria,manoscritti,120
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0080,IT-CS0080,Biblioteca Charitas della Basilica di San Francesco di Paola,manoscritti,100
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IM0034,IT-IM0034,"Biblioteca Civica ""Dott. Francesco Corradi""",manoscritti,10
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SV0001,IT-SV0001,"Biblioteca Civica ""Renzo Deaglio""",manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IM0012,IT-IM0012,Biblioteca Civica Angiolo Silvio Novaro,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BS0026,IT-BS0026,Biblioteca Civica Queriniana di Brescia,manoscritti,8644
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0488,IT-MI0488,Biblioteca Civica comunale,manoscritti,4600
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CT0063,IT-CT0063,Biblioteca Civica ed Antonio Ursino Recupero,manoscritti,4000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MO0237,IT-MO0237,Biblioteca Civico Planetario F. Martino,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IM0001,IT-IM0001,Biblioteca Clarence Bicknell dell'Istituto internazionale di studi liguri,manoscritti,135
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FR0131,IT-FR0131,Biblioteca Claudiana,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PT0014,IT-PT0014,Biblioteca Collodiana ,manoscritti,890
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SA0215,IT-SA0215,Biblioteca Comunale,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SA0258,IT-SA0258,Biblioteca Comunale,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SS0119,IT-SS0119,Biblioteca Comunale,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TO0933,IT-TO0933,Biblioteca Comunale,manoscritti,2
